u,v
312978897,474622865
312978897,210389669
312979119,768378476
312979119,312978895
312979211,852835543
312979211,617504091
312979211,617504090
312979212,1250193057
312979212,1248534577
312979212,617504097
312979212,1217523202
312979259,617504169
312979259,1248534640
312979259,617504170
312979259,617504083
312979260,617504168
312979260,1248534577
312979260,2753170820
312979260,617504170
312979380,768377683
312979380,968546527
312979380,768379044
312979383,1234770978
312979383,768378865
312979724,9840578722
312979724,975667183
312979724,8842689779
312980655,8273040147
312980655,731804802
312980655,312980657
312980657,8227355266
312980657,312980655
312980657,3798041505
312981395,927668082
312981395,590055604
312981395,927668065
312981497,590036754
312996073,1243140405
312996073,766216782
312996073,242924136
312996073,2105152650
345339958,345341303
345339958,241586090
345339974,688497638
345339974,4754502371
345341303,1966228361
345581421,345683378
345581421,345733523
345581421,731804553
345582309,964665117
345582309,964665177
345582772,178263734
345582772,2047702297
345582772,5069007993
345583321,6832110020
345583321,829675022
345583321,5618915629
345586228,608985072
345586228,610221048
345586228,608985073
345587340,959460444
345587340,241573959
345589652,2044461816
345589652,586416960
345589652,856534519
345590856,586416990
345590856,178263728
345590856,585138606
345591120,1732942339
345591120,1732972238
345658084,345683398
345658084,621219530
345658084,345683351
345683330,698266971
345683330,345683351
345683335,2010073064
345683335,410800763
345683351,242921340
345683351,474623143
345683351,345658084
345683378,345581421
345683378,1355290212
345683378,731804681
345683398,910307390
345683400,706934268
345683400,345683335
345733301,2047702282
345733301,1741918194
345733373,178180441
345733373,768377455
345733373,345733435
345733435,345733373
345733435,345733679
345733435,1456576571
345733435,2407120550
345733492,2407114671
345733492,345582309
345733496,2407114671
345733496,1648358521
345733496,731804621
345733523,4206191690
345733523,1648358521
345733620,2407120546
345733679,345733435
345733679,7716079960
345733679,2407120545
345733865,1262271480
345733923,345733969
345733923,1952338578
345733969,410410160
346903682,959460467
346903682,305553642
346903682,731804642
346903687,346903692
346903687,731804642
346903692,1634956819
346904857,959460467
346904857,8193303302
353833634,480793551
353833634,480793585
353833640,353833641
353833640,1320005686
353833640,480793566
353833641,353833640
353833641,353834521
353834494,480792943
353834494,353834502
353834494,484078494
353834502,353834494
353834502,484078494
353834502,353835637
353834521,1655544745
353834521,1320005700
353834521,353833641
353834526,480793106
353834526,480793092
353834526,480793292
353834533,480792872
353834533,353834536
353834533,353860855
353834533,484078463
353834536,484078469
353834536,353834533
353834536,480792964
353834537,353834540
353834537,3045071215
353834537,484078470
353834540,480792943
353834540,353834537
353834540,480793008
353835593,1254073859
353835593,2321544171
353835596,353835593
353835596,2321544175
353835596,2321544171
353835597,353835596
353835597,1256742079
353835597,353837267
353835637,3029143739
353835637,353834502
353835637,1361161495
353835690,1254073859
353835690,1361161495
353835690,472887387
353837267,607973188
353837267,11362475219
353837267,353835597
353837274,11362475231
353837274,11362475218
353837274,890346711
353837292,472887295
353837292,353837303
353837292,472887375
353837303,9663627912
353837303,3840725321
353837303,353837292
353854860,890346216
353854860,210301780
353854860,353855731
353855731,494771605
353855731,890347993
353855731,353854860
353856002,494771505
353856002,472887375
353856002,943165338
353860807,722213722
353860807,473373966
353860807,628813059
353860812,781037390
353860812,1441883174
353860812,781037763
353860828,353860835
353860828,1210428365
353860828,3832099860
353860835,353860837
353860835,353860828
353860835,1254074371
353860837,353860835
353860837,480792887
353860837,1258147722
353860855,480793059
353860855,480793100
353860855,353834533
353860855,480793088
353861991,484078462
353861991,480793123
353861991,484078467
353861991,480793142
353861993,484078450
353861993,480793129
353861993,480793128
353861993,480793140
392208789,612933707
410043187,9663627912
410043187,410106506
410043187,9663627905
410043344,472791392
410043344,472823037
410043788,2491860514
410043788,2689318778
410043788,3017379084
410044640,10810262605
410044640,410186242
410044640,410981970
410106506,2080777194
410106506,410107725
410106506,410043187
410107720,1640119681
410107720,410107725
410107720,1237008437
410107725,410410135
410107725,410106506
410107725,410107720
410173926,11202156703
410173926,9761498684
410173926,957106401
410173953,474385115
410173953,959460456
410173953,410175425
410174023,10078998597
410174023,1666319878
410174023,731804842
410175418,410175425
410175425,410175418
410175425,410173953
410175425,4342212947
410175643,241575084
410175643,1952343675
410175659,410175994
410175659,1952340362
410175750,3066269576
410175994,410175643
410177783,2010073048
410177783,621219529
410177804,932497061
410177804,11242833035
410177804,11242833036
410177804,947872331
410178032,11299869694
410178032,410371915
410178032,11299869701
410178881,633125566
410178881,633125583
410178881,1259864987
410178898,474623161
410178898,1259865573
410178898,4111767029
410181340,2010073053
410181340,474952563
410181725,241862914
410181725,4560947094
410181725,626689887
410181732,1259864689
410181732,1056703526
410181732,2444339989
410183444,1259865160
410183444,940072601
410183444,940073812
410183444,1259865114
410186216,940073814
410186216,2041560804
410186216,410368182
410186242,11505069096
410186242,210295706
410225518,678991670
410225518,1934624955
410225518,3813484026
410228412,612933745
410228412,621219543
410229238,410992752
410229238,410992754
410229238,410988327
410229272,4214933389
410229272,410232531
410229272,410231057
410229274,411022582
410229274,411023111
410229274,411022592
410229566,410367329
410229566,737358867
410229566,1246524022
410229575,453025590
410229575,621219545
410229575,453025589
410230197,4903150345
410230197,410988329
410230202,474622867
410230202,411021918
410230218,1588111871
410230218,480793020
410230218,480792878
410231055,4215038325
410231055,4215038327
410231055,2814749125
410231055,1246523594
410231056,410231057
410231056,612933771
410231056,1877262733
410231057,410231056
410231057,411025592
410231057,410229272
410231058,2491856687
410231058,410231059
410231058,410367325
410231059,612933767
410231059,1899588958
410231059,453025641
410231059,410231058
410231060,411025584
410231060,453025691
410231060,453025641
410231060,1899588786
410231061,411021928
410231061,410231062
410231061,453025691
410231062,410231061
410231062,1899588744
410231062,411021918
410232531,411025589
410232531,2491856687
410232531,410229272
410232537,242921664
410232537,847580977
410232537,1212923271
410234556,410518323
410234556,410234664
410234556,410516849
410234557,410234664
410234557,410234664
410234557,11626097773
410234563,4469838836
410234664,410234557
410234664,410234556
410234664,474622916
410234704,410382225
410234704,410379176
410234704,410383120
410234704,410383084
410235296,410384351
410235296,1103200234
410235296,757614254
